batch_number,yaml_file,page_kind,page_index,page_name,store_results,page_id,pair_id,pair_role
1,marcussen_batch_01.yaml,trial,46,Trial 046,True,1924,1924,cross_organ_main
1,marcussen_batch_01.yaml,trial,47,Trial 047,True,675,675,cross_organ_main
1,marcussen_batch_01.yaml,trial,48,Trial 048,True,859,859,cross_organ_main
1,marcussen_batch_01.yaml,trial,49,Trial 049,True,2401,2401,cross_organ_main
1,marcussen_batch_01.yaml,trial,50,Trial 050,True,2506,2506,same_organ_anchor
1,marcussen_batch_01.yaml,trial,51,Trial 051,True,1128,1128,cross_organ_main
1,marcussen_batch_01.yaml,trial,52,Trial 052,True,1766,1766,cross_organ_main
1,marcussen_batch_01.yaml,trial,53,Trial 053,True,1075,1075,cross_organ_main
1,marcussen_batch_01.yaml,trial,54,Trial 054,True,1658,1658,cross_organ_main
1,marcussen_batch_01.yaml,trial,55,Trial 055,True,1292,1292,cross_organ_main
1,marcussen_batch_01.yaml,trial,56,Trial 056,True,2065,2065,cross_organ_main
1,marcussen_batch_01.yaml,trial,57,Trial 057,True,595,595,cross_organ_main
1,marcussen_batch_01.yaml,trial,58,Trial 058,True,1547,1547,same_pipe_reference
1,marcussen_batch_01.yaml,trial,59,Trial 059,True,402,402,cross_organ_main
1,marcussen_batch_01.yaml,trial,60,Trial 060,True,79,79,cross_organ_main
1,marcussen_batch_01.yaml,trial,61,Trial 061,True,555,555,cross_organ_main
1,marcussen_batch_01.yaml,trial,62,Trial 062,True,1263,1263,cross_organ_main
1,marcussen_batch_01.yaml,trial,63,Trial 063,True,1157,1157,cross_organ_main
1,marcussen_batch_01.yaml,trial,64,Trial 064,True,1202,1202,cross_organ_main
1,marcussen_batch_01.yaml,trial,65,Trial 065,True,1390,1390,cross_organ_main
1,marcussen_batch_01.yaml,trial,66,Trial 066,True,1901,1901,cross_organ_main
1,marcussen_batch_01.yaml,trial,67,Trial 067,True,786,786,cross_organ_main
1,marcussen_batch_01.yaml,trial,68,Trial 068,True,561,561,cross_organ_main
1,marcussen_batch_01.yaml,trial,69,Trial 069,True,835,835,cross_organ_main
2,marcussen_batch_02.yaml,example,1,Example 001,False,example_001_pair_1668,1668,same_pipe_reference
2,marcussen_batch_02.yaml,example,2,Example 002,False,example_002_pair_2783,2783,same_organ_anchor
2,marcussen_batch_02.yaml,trial,1,Trial 001,True,901,901,cross_organ_main
2,marcussen_batch_02.yaml,trial,2,Trial 002,True,683,683,cross_organ_main
2,marcussen_batch_02.yaml,trial,3,Trial 003,True,1471,1471,cross_organ_main
2,marcussen_batch_02.yaml,trial,4,Trial 004,True,762,762,cross_organ_main
2,marcussen_batch_02.yaml,trial,5,Trial 005,True,984,984,cross_organ_main
2,marcussen_batch_02.yaml,trial,6,Trial 006,True,2364,2364,cross_organ_main
2,marcussen_batch_02.yaml,trial,7,Trial 007,True,1765,1765,cross_organ_main
2,marcussen_batch_02.yaml,trial,8,Trial 008,True,635,635,cross_organ_main
2,marcussen_batch_02.yaml,trial,9,Trial 009,True,1172,1172,cross_organ_main
2,marcussen_batch_02.yaml,trial,10,Trial 010,True,1244,1244,cross_organ_main
2,marcussen_batch_02.yaml,trial,11,Trial 011,True,63,63,cross_organ_main
2,marcussen_batch_02.yaml,trial,12,Trial 012,True,946,946,cross_organ_main
2,marcussen_batch_02.yaml,trial,13,Trial 013,True,128,128,cross_organ_main
2,marcussen_batch_02.yaml,trial,14,Trial 014,True,939,939,cross_organ_main
2,marcussen_batch_02.yaml,trial,15,Trial 015,True,2108,2108,cross_organ_main
2,marcussen_batch_02.yaml,trial,16,Trial 016,True,56,56,cross_organ_main
2,marcussen_batch_02.yaml,trial,17,Trial 017,True,674,674,cross_organ_main
2,marcussen_batch_02.yaml,trial,18,Trial 018,True,1902,1902,cross_organ_main
2,marcussen_batch_02.yaml,trial,19,Trial 019,True,1659,1659,cross_organ_main
2,marcussen_batch_02.yaml,trial,20,Trial 020,True,1035,1035,cross_organ_main
2,marcussen_batch_02.yaml,trial,21,Trial 021,True,994,994,cross_organ_main
2,marcussen_batch_02.yaml,trial,22,Trial 022,True,1540,1540,cross_organ_main
2,marcussen_batch_02.yaml,trial,23,Trial 023,True,2352,2352,cross_organ_main
2,marcussen_batch_02.yaml,trial,24,Trial 024,True,1192,1192,same_pipe_reference
2,marcussen_batch_02.yaml,trial,25,Trial 025,True,1127,1127,cross_organ_main
2,marcussen_batch_02.yaml,trial,26,Trial 026,True,2555,2555,same_organ_anchor
2,marcussen_batch_02.yaml,trial,27,Trial 027,True,444,444,cross_organ_main
2,marcussen_batch_02.yaml,trial,28,Trial 028,True,1726,1726,cross_organ_main
2,marcussen_batch_02.yaml,trial,29,Trial 029,True,187,187,cross_organ_main
2,marcussen_batch_02.yaml,trial,30,Trial 030,True,884,884,cross_organ_main
2,marcussen_batch_02.yaml,trial,31,Trial 031,True,1024,1024,cross_organ_main
2,marcussen_batch_02.yaml,trial,32,Trial 032,True,397,397,cross_organ_main
2,marcussen_batch_02.yaml,trial,33,Trial 033,True,1249,1249,cross_organ_main
2,marcussen_batch_02.yaml,trial,34,Trial 034,True,562,562,cross_organ_main
2,marcussen_batch_02.yaml,trial,35,Trial 035,True,1790,1790,cross_organ_main
2,marcussen_batch_02.yaml,trial,36,Trial 036,True,1018,1018,cross_organ_main
2,marcussen_batch_02.yaml,trial,37,Trial 037,True,1332,1332,cross_organ_main
2,marcussen_batch_02.yaml,trial,38,Trial 038,True,141,141,cross_organ_main
2,marcussen_batch_02.yaml,trial,39,Trial 039,True,781,781,cross_organ_main
2,marcussen_batch_02.yaml,trial,40,Trial 040,True,1452,1452,cross_organ_main
2,marcussen_batch_02.yaml,trial,41,Trial 041,True,1971,1971,cross_organ_main
2,marcussen_batch_02.yaml,trial,42,Trial 042,True,13,13,cross_organ_main
2,marcussen_batch_02.yaml,trial,43,Trial 043,True,1854,1854,cross_organ_main
2,marcussen_batch_02.yaml,trial,44,Trial 044,True,1716,1716,cross_organ_main
2,marcussen_batch_02.yaml,trial,45,Trial 045,True,2244,2244,cross_organ_main
2,marcussen_batch_02.yaml,trial,46,Trial 046,True,173,173,cross_organ_main
2,marcussen_batch_02.yaml,trial,47,Trial 047,True,1116,1116,cross_organ_main
2,marcussen_batch_02.yaml,trial,48,Trial 048,True,335,335,cross_organ_main
2,marcussen_batch_02.yaml,trial,49,Trial 049,True,1059,1059,cross_organ_main
2,marcussen_batch_02.yaml,trial,50,Trial 050,True,2096,2096,cross_organ_main
2,marcussen_batch_02.yaml,trial,51,Trial 051,True,1502,1502,cross_organ_main
2,marcussen_batch_02.yaml,trial,52,Trial 052,True,1512,1512,cross_organ_main
